,explanation,absolute,normalisation,similarity_func,baseline_strategy,subset_size,iterations,faithfulness_score
392,FusionGrad,True,False,Pearson,Black,2,100,-0.0391870352123082
393,Saliency,True,False,Spearman,Black,2,100,0.0079533667652479
394,IntegratedGradients,True,False,Spearman,Black,2,100,-0.0130037367669226
395,FusionGrad,True,False,Spearman,Black,2,100,-0.0483999828554284
396,Saliency,True,False,Pearson,Black,112,50,0.0305064664744735
397,IntegratedGradients,True,False,Pearson,Black,112,50,0.0012333730880189
398,FusionGrad,True,False,Pearson,Black,112,50,0.0211119077315338
399,Saliency,True,False,Spearman,Black,112,50,0.0202298062081975
400,IntegratedGradients,True,False,Spearman,Black,112,50,0.0652786829017321
401,FusionGrad,True,False,Spearman,Black,112,50,0.054920253815812
402,Saliency,True,False,Pearson,Black,112,100,-0.0006075286255034
403,IntegratedGradients,True,False,Pearson,Black,112,100,-0.0103607228296162
404,FusionGrad,True,False,Pearson,Black,112,100,0.0162677313232699
405,Saliency,True,False,Spearman,Black,112,100,0.0018361836183618
406,IntegratedGradients,True,False,Spearman,Black,112,100,0.0567725343962967
407,FusionGrad,True,False,Spearman,Black,112,100,-0.0123963824953923
408,Saliency,True,False,Pearson,Black,224,50,0.0299527492371352
409,IntegratedGradients,True,False,Pearson,Black,224,50,0.0370625874354847
410,FusionGrad,True,False,Pearson,Black,224,50,0.0611550738698644
411,Saliency,True,False,Spearman,Black,224,50,0.0453781512605041
412,IntegratedGradients,True,False,Spearman,Black,224,50,0.0027851140456182
413,FusionGrad,True,False,Spearman,Black,224,50,0.0155376436288801
414,Saliency,True,False,Pearson,Black,224,100,-0.007350571401913
415,IntegratedGradients,True,False,Pearson,Black,224,100,-0.0070153051364128
416,FusionGrad,True,False,Pearson,Black,224,100,0.01725227399677
417,Saliency,True,False,Spearman,Black,224,100,0.0583824096695383
418,IntegratedGradients,True,False,Spearman,Black,224,100,0.0027705627705627
419,FusionGrad,True,False,Spearman,Black,224,100,0.0779272212935579
420,Saliency,True,False,Pearson,Black,1792,50,0.0752878680713932
421,IntegratedGradients,True,False,Pearson,Black,1792,50,-0.0418816356897013
422,FusionGrad,True,False,Pearson,Black,1792,50,-0.0171652062841918
423,Saliency,True,False,Spearman,Black,1792,50,-0.0432172869147659
424,IntegratedGradients,True,False,Spearman,Black,1792,50,0.0633579145944091
425,FusionGrad,True,False,Spearman,Black,1792,50,-0.0486708969302006
426,Saliency,True,False,Pearson,Black,1792,100,0.0246353808154333
427,IntegratedGradients,True,False,Pearson,Black,1792,100,0.0146594191594615
428,FusionGrad,True,False,Pearson,Black,1792,100,0.0527841048852898
429,Saliency,True,False,Spearman,Black,1792,100,0.086074321717886
430,IntegratedGradients,True,False,Spearman,Black,1792,100,0.0456508507993656
431,FusionGrad,True,False,Spearman,Black,1792,100,-0.0198062663409198
432,Saliency,True,False,Pearson,White,2,50,-0.032218283695071
433,IntegratedGradients,True,False,Pearson,White,2,50,-0.0599240243985007
434,FusionGrad,True,False,Pearson,White,2,50,-0.0059240930527409
435,Saliency,True,False,Spearman,White,2,50,0.0135414165666266
436,IntegratedGradients,True,False,Spearman,White,2,50,0.0031212484993997
437,FusionGrad,True,False,Spearman,White,2,50,-0.0237763676899331
438,Saliency,True,False,Pearson,White,2,100,0.0043708368874812
439,IntegratedGradients,True,False,Pearson,White,2,100,-0.0536878726509422
440,FusionGrad,True,False,Pearson,White,2,100,0.0602217355140607
441,Saliency,True,False,Spearman,White,2,100,-0.009006900690069
442,IntegratedGradients,True,False,Spearman,White,2,100,-0.0646178903604646
443,FusionGrad,True,False,Spearman,White,2,100,0.036020744931636
444,Saliency,True,False,Pearson,White,112,50,-0.0172130759080835
445,IntegratedGradients,True,False,Pearson,White,112,50,0.0197878637627006
446,FusionGrad,True,False,Pearson,White,112,50,-0.0077930475312677
447,Saliency,True,False,Spearman,White,112,50,-0.0110444177671068
448,IntegratedGradients,True,False,Spearman,White,112,50,0.0064963128108386
449,FusionGrad,True,False,Spearman,White,112,50,0.0326462013376779
450,Saliency,True,False,Pearson,White,112,100,0.0510588401663128
451,IntegratedGradients,True,False,Pearson,White,112,100,-0.0280604626152478
452,FusionGrad,True,False,Pearson,White,112,100,0.0356731059963906
453,Saliency,True,False,Spearman,White,112,100,0.0467378166388067
454,IntegratedGradients,True,False,Spearman,White,112,100,-0.0315374394582315
455,FusionGrad,True,False,Spearman,White,112,100,-0.0013355748382405
456,Saliency,True,False,Pearson,White,224,50,0.033280165302364
457,IntegratedGradients,True,False,Pearson,White,224,50,-0.0176269832999225
458,FusionGrad,True,False,Pearson,White,224,50,0.0955039755536433
459,Saliency,True,False,Spearman,White,224,50,0.0706979934831075
460,IntegratedGradients,True,False,Spearman,White,224,50,-0.0582404390327559
461,FusionGrad,True,False,Spearman,White,224,50,0.0790739152803978
462,Saliency,True,False,Pearson,White,224,100,0.0549658397382556
463,IntegratedGradients,True,False,Pearson,White,224,100,0.0003768619344702
464,FusionGrad,True,False,Pearson,White,224,100,0.0109470331017632
465,Saliency,True,False,Spearman,White,224,100,0.0502704556169902
466,IntegratedGradients,True,False,Spearman,White,224,100,-0.005031074536025
467,FusionGrad,True,False,Spearman,White,224,100,0.0543602931721743
468,Saliency,True,False,Pearson,White,1792,50,0.0203911538643452
469,IntegratedGradients,True,False,Pearson,White,1792,50,0.0743108054529898
470,FusionGrad,True,False,Pearson,White,1792,50,0.0087476714474666
471,Saliency,True,False,Spearman,White,1792,50,0.0220545361001543
472,IntegratedGradients,True,False,Spearman,White,1792,50,0.0264791630938089
473,FusionGrad,True,False,Spearman,White,1792,50,0.0372423255016292
474,Saliency,True,False,Pearson,White,1792,100,-0.0244248526760963
475,IntegratedGradients,True,False,Pearson,White,1792,100,0.0352568670358639
476,FusionGrad,True,False,Pearson,White,1792,100,0.0504192855658083
477,Saliency,True,False,Spearman,White,1792,100,-0.0053748231966053
478,IntegratedGradients,True,False,Spearman,White,1792,100,0.0478805023359478
479,FusionGrad,True,False,Spearman,White,1792,100,0.0396811109682396
480,Saliency,False,True,Pearson,Mean,2,50,-0.0104779128001762
481,IntegratedGradients,False,True,Pearson,Mean,2,50,0.0303863261865664
482,FusionGrad,False,True,Pearson,Mean,2,50,-0.0318065907505841
483,Saliency,False,True,Spearman,Mean,2,50,0.0165391871034128
484,IntegratedGradients,False,True,Spearman,Mean,2,50,-0.034868804664723
485,FusionGrad,False,True,Spearman,Mean,2,50,-0.0796021265649116
486,Saliency,False,True,Pearson,Mean,2,100,-0.0397236202079283
487,IntegratedGradients,False,True,Pearson,Mean,2,100,0.0571650670089455
488,FusionGrad,False,True,Pearson,Mean,2,100,-0.0065948069968077
489,Saliency,False,True,Spearman,Mean,2,100,-0.0424666769171527
490,IntegratedGradients,False,True,Spearman,Mean,2,100,0.0517539375503289
491,FusionGrad,False,True,Spearman,Mean,2,100,0.0213732801851613
492,Saliency,False,True,Pearson,Mean,112,50,0.0103678242941764
493,IntegratedGradients,False,True,Pearson,Mean,112,50,-0.0776975453173554
494,FusionGrad,False,True,Pearson,Mean,112,50,0.0247481228083945
495,Saliency,False,True,Spearman,Mean,112,50,-0.0162922311781855
496,IntegratedGradients,False,True,Spearman,Mean,112,50,0.0142754244554964
497,FusionGrad,False,True,Spearman,Mean,112,50,0.0215674841365117
498,Saliency,False,True,Pearson,Mean,112,100,0.0221282128224591
499,IntegratedGradients,False,True,Pearson,Mean,112,100,0.0140240406930444
500,FusionGrad,False,True,Pearson,Mean,112,100,0.0392537542934768
501,Saliency,False,True,Spearman,Mean,112,100,-0.0058257254296858
502,IntegratedGradients,False,True,Spearman,Mean,112,100,-0.006010886802966
503,FusionGrad,False,True,Spearman,Mean,112,100,0.0098495563842098
504,Saliency,False,True,Pearson,Mean,224,50,-0.057554871782528
505,IntegratedGradients,False,True,Pearson,Mean,224,50,0.0345942244582866
506,FusionGrad,False,True,Pearson,Mean,224,50,0.013005891801487
507,Saliency,False,True,Spearman,Mean,224,50,-0.0113668324472646
508,IntegratedGradients,False,True,Spearman,Mean,224,50,0.0582129994855084
509,FusionGrad,False,True,Spearman,Mean,224,50,0.03584976847882
510,Saliency,False,True,Pearson,Mean,224,100,-0.0099414157908097
511,IntegratedGradients,False,True,Pearson,Mean,224,100,0.0405760442426279
512,FusionGrad,False,True,Pearson,Mean,224,100,-0.0113148655130129
513,Saliency,False,True,Spearman,Mean,224,100,-0.0305713428485705
514,IntegratedGradients,False,True,Spearman,Mean,224,100,0.0383909819553383
515,FusionGrad,False,True,Spearman,Mean,224,100,-0.0307727915648707
516,Saliency,False,True,Pearson,Mean,1792,50,0.0390328909007235
517,IntegratedGradients,False,True,Pearson,Mean,1792,50,0.0416815663817385
518,FusionGrad,False,True,Pearson,Mean,1792,50,-0.0368920243212366
519,Saliency,False,True,Spearman,Mean,1792,50,0.0146801577773966
520,IntegratedGradients,False,True,Spearman,Mean,1792,50,0.0066678099811353
521,FusionGrad,False,True,Spearman,Mean,1792,50,0.0081426856456868
522,Saliency,False,True,Pearson,Mean,1792,100,-0.0070699320233605
523,IntegratedGradients,False,True,Pearson,Mean,1792,100,-0.0317821431491441
524,FusionGrad,False,True,Pearson,Mean,1792,100,-0.0300534304381345
525,Saliency,False,True,Spearman,Mean,1792,100,-0.016092752132356
526,IntegratedGradients,False,True,Spearman,Mean,1792,100,-0.0333230465903733
527,FusionGrad,False,True,Spearman,Mean,1792,100,-0.0229394368008229
528,Saliency,False,True,Pearson,Random,2,50,-0.0233908969591346
529,IntegratedGradients,False,True,Pearson,Random,2,50,-0.0053270392201873
530,FusionGrad,False,True,Pearson,Random,2,50,-0.0048428106971451
531,Saliency,False,True,Spearman,Random,2,50,-0.0574927113702623
532,IntegratedGradients,False,True,Spearman,Random,2,50,0.0514971702966901
533,FusionGrad,False,True,Spearman,Random,2,50,0.0586245926942205
534,Saliency,False,True,Pearson,Random,2,100,-0.022263137885382
535,IntegratedGradients,False,True,Pearson,Random,2,100,-0.0370474667926737
536,FusionGrad,False,True,Pearson,Random,2,100,0.0293049259847422
537,Saliency,False,True,Spearman,Random,2,100,-0.0164000954899324
538,IntegratedGradients,False,True,Spearman,Random,2,100,0.0127088914564234
539,FusionGrad,False,True,Spearman,Random,2,100,-0.0146380352320946
540,Saliency,False,True,Pearson,Random,112,50,-0.0038234126166654
541,IntegratedGradients,False,True,Pearson,Random,112,50,0.0155899905946663
542,FusionGrad,False,True,Pearson,Random,112,50,-0.0046062895036587
543,Saliency,False,True,Spearman,Random,112,50,-0.0516412279197393
544,IntegratedGradients,False,True,Spearman,Random,112,50,0.0191047847710512
545,FusionGrad,False,True,Spearman,Random,112,50,-0.0535619962270622
546,Saliency,False,True,Pearson,Random,112,100,0.0165474903471395
547,IntegratedGradients,False,True,Pearson,Random,112,100,-0.0098040328942267
548,FusionGrad,False,True,Pearson,Random,112,100,-0.028735806028857
549,Saliency,False,True,Spearman,Random,112,100,0.0013878530710213
550,IntegratedGradients,False,True,Spearman,Random,112,100,0.0214615747289014
551,FusionGrad,False,True,Spearman,Random,112,100,0.0437718057520037
552,Saliency,False,True,Pearson,Random,224,50,-0.0155603188992302
553,IntegratedGradients,False,True,Pearson,Random,224,50,-0.0104122724458403
554,FusionGrad,False,True,Pearson,Random,224,50,-0.0275573383020341
555,Saliency,False,True,Spearman,Random,224,50,-0.0483965014577259
556,IntegratedGradients,False,True,Spearman,Random,224,50,0.0101800720288115
557,FusionGrad,False,True,Spearman,Random,224,50,0.0297033098953867
558,Saliency,False,True,Pearson,Random,224,100,-0.0260719561098972
559,IntegratedGradients,False,True,Pearson,Random,224,100,-9.008816248309575e-05
560,FusionGrad,False,True,Pearson,Random,224,100,-0.000479971663846
561,Saliency,False,True,Spearman,Random,224,100,-0.0267301015815867
562,IntegratedGradients,False,True,Spearman,Random,224,100,-0.0081376709099481
563,FusionGrad,False,True,Spearman,Random,224,100,-0.0381089537525181
564,Saliency,False,True,Pearson,Random,1792,50,-0.0053150690889158
565,IntegratedGradients,False,True,Pearson,Random,1792,50,0.03058951401825
566,FusionGrad,False,True,Pearson,Random,1792,50,-0.0249621317475394
567,Saliency,False,True,Spearman,Random,1792,50,0.0409603841536614
568,IntegratedGradients,False,True,Spearman,Random,1792,50,-0.0118401646372834
569,FusionGrad,False,True,Spearman,Random,1792,50,0.0432584462356371
570,Saliency,False,True,Pearson,Random,1792,100,-0.044323000124033
571,IntegratedGradients,False,True,Pearson,Random,1792,100,0.0333244359936035
572,FusionGrad,False,True,Pearson,Random,1792,100,-0.0283576997331792
573,Saliency,False,True,Spearman,Random,1792,100,0.0267575328961467
574,IntegratedGradients,False,True,Spearman,Random,1792,100,0.0332373237323732
575,FusionGrad,False,True,Spearman,Random,1792,100,0.0038446701813038
576,Saliency,False,True,Pearson,Uniform,2,50,0.0910115228094601
577,IntegratedGradients,False,True,Pearson,Uniform,2,50,-0.0405828900215891
578,FusionGrad,False,True,Pearson,Uniform,2,50,-0.015044135554435
579,Saliency,False,True,Spearman,Uniform,2,50,-0.0024626993654604
580,IntegratedGradients,False,True,Spearman,Uniform,2,50,0.0090550505916652
581,FusionGrad,False,True,Spearman,Uniform,2,50,0.0403841536614645
582,Saliency,False,True,Pearson,Uniform,2,100,-0.0226342366528848
583,IntegratedGradients,False,True,Pearson,Uniform,2,100,0.0226388530116649
584,FusionGrad,False,True,Pearson,Uniform,2,100,-0.0066509499845878
585,Saliency,False,True,Spearman,Uniform,2,100,0.0127924220993527
586,IntegratedGradients,False,True,Spearman,Uniform,2,100,-0.0160010286742959
587,FusionGrad,False,True,Spearman,Uniform,2,100,0.0414632891860614
588,Saliency,False,True,Pearson,Uniform,112,50,0.0252583773346175
589,IntegratedGradients,False,True,Pearson,Uniform,112,50,-0.0768639775530581
590,FusionGrad,False,True,Pearson,Uniform,112,50,-0.10160113215146
591,Saliency,False,True,Spearman,Uniform,112,50,-0.0335654261704681
592,IntegratedGradients,False,True,Spearman,Uniform,112,50,0.0016806722689075
593,FusionGrad,False,True,Spearman,Uniform,112,50,-0.0331812725090036
594,Saliency,False,True,Pearson,Uniform,112,100,0.0116726992859479
595,IntegratedGradients,False,True,Pearson,Uniform,112,100,-0.0569369352304609
596,FusionGrad,False,True,Pearson,Uniform,112,100,-0.0526152487122352
597,Saliency,False,True,Spearman,Uniform,112,100,-0.0007217851912432
598,IntegratedGradients,False,True,Spearman,Uniform,112,100,0.0026651236552226
599,FusionGrad,False,True,Spearman,Uniform,112,100,0.037045133084737
600,Saliency,False,True,Pearson,Uniform,224,50,-0.0469478079580612
601,IntegratedGradients,False,True,Pearson,Uniform,224,50,0.0383340856540397
602,FusionGrad,False,True,Pearson,Uniform,224,50,0.0275043048644693
603,Saliency,False,True,Spearman,Uniform,224,50,0.0284753901560624
604,IntegratedGradients,False,True,Spearman,Uniform,224,50,-0.1028022637626479
605,FusionGrad,False,True,Spearman,Uniform,224,50,-0.0197329022111161
606,Saliency,False,True,Pearson,Uniform,224,100,-0.0098245683481611
607,IntegratedGradients,False,True,Pearson,Uniform,224,100,-0.0191079890912953
608,FusionGrad,False,True,Pearson,Uniform,224,100,0.0186787837109519
609,Saliency,False,True,Spearman,Uniform,224,100,-0.0028065663709228
610,IntegratedGradients,False,True,Spearman,Uniform,224,100,0.0157464317860357
611,FusionGrad,False,True,Spearman,Uniform,224,100,0.0165307959367365
612,Saliency,False,True,Pearson,Uniform,1792,50,0.0257389377005055
613,IntegratedGradients,False,True,Pearson,Uniform,1792,50,-0.0893588441422211
614,FusionGrad,False,True,Pearson,Uniform,1792,50,-0.0915255978989866
615,Saliency,False,True,Spearman,Uniform,1792,50,0.0110306979934831
616,IntegratedGradients,False,True,Spearman,Uniform,1792,50,-0.0273778082661636
617,FusionGrad,False,True,Spearman,Uniform,1792,50,0.0096793002915451
618,Saliency,False,True,Pearson,Uniform,1792,100,-0.0269009577741936
619,IntegratedGradients,False,True,Pearson,Uniform,1792,100,-0.0372245891717442
620,FusionGrad,False,True,Pearson,Uniform,1792,100,-0.0116085301779923
621,Saliency,False,True,Spearman,Uniform,1792,100,-0.0520980669495521
622,IntegratedGradients,False,True,Spearman,Uniform,1792,100,0.027042132784707
623,FusionGrad,False,True,Spearman,Uniform,1792,100,0.06007200720072
624,Saliency,False,True,Pearson,Black,2,50,-0.0250337416165312
625,IntegratedGradients,False,True,Pearson,Black,2,50,0.1118953679655929
626,FusionGrad,False,True,Pearson,Black,2,50,-0.0087477662551354
627,Saliency,False,True,Spearman,Black,2,50,-0.0486708969302006
628,IntegratedGradients,False,True,Spearman,Black,2,50,-0.0026684959698164
629,FusionGrad,False,True,Spearman,Black,2,50,0.0033407648773795
630,Saliency,False,True,Pearson,Black,2,100,0.0169670030541988
631,IntegratedGradients,False,True,Pearson,Black,2,100,0.0141424908950399
632,FusionGrad,False,True,Pearson,Black,2,100,0.0399513465721787
633,Saliency,False,True,Spearman,Black,2,100,-0.0158913034160558
634,IntegratedGradients,False,True,Spearman,Black,2,100,-0.0154824053833954
635,FusionGrad,False,True,Spearman,Black,2,100,0.0155304101838755
636,Saliency,False,True,Pearson,Black,112,50,0.0358075599838501
637,IntegratedGradients,False,True,Pearson,Black,112,50,-0.0310706343111142
638,FusionGrad,False,True,Pearson,Black,112,50,-0.0428143709046339
639,Saliency,False,True,Spearman,Black,112,50,0.0089452924026753
640,IntegratedGradients,False,True,Spearman,Black,112,50,0.0253267021094152
641,FusionGrad,False,True,Spearman,Black,112,50,0.0566626650660264
642,Saliency,False,True,Pearson,Black,112,100,0.0202626520519503
643,IntegratedGradients,False,True,Pearson,Black,112,100,0.0879429729842984
644,FusionGrad,False,True,Pearson,Black,112,100,-0.0241901752295732
645,Saliency,False,True,Spearman,Black,112,100,-0.005025931164545
646,IntegratedGradients,False,True,Spearman,Black,112,100,0.0143920106296343
647,FusionGrad,False,True,Spearman,Black,112,100,0.0675178946466075
648,Saliency,False,True,Pearson,Black,224,50,-0.0123831895004609
649,IntegratedGradients,False,True,Pearson,Black,224,50,-0.0131766934949744
650,FusionGrad,False,True,Pearson,Black,224,50,0.0441574985262846
651,Saliency,False,True,Spearman,Black,224,50,0.0490962099125364
652,IntegratedGradients,False,True,Spearman,Black,224,50,0.0131984222260332
653,FusionGrad,False,True,Spearman,Black,224,50,-0.0153455667981478
654,Saliency,False,True,Pearson,Black,224,100,-0.0286433617399937
655,IntegratedGradients,False,True,Pearson,Black,224,100,0.0282034405510322
656,FusionGrad,False,True,Pearson,Black,224,100,-0.0129745238831142
657,Saliency,False,True,Spearman,Black,224,100,0.0029634392010629
658,IntegratedGradients,False,True,Spearman,Black,224,100,0.0204697612618404
659,FusionGrad,False,True,Spearman,Black,224,100,0.0194985212806995
660,Saliency,False,True,Pearson,Black,1792,50,-0.0338398776170383
661,IntegratedGradients,False,True,Pearson,Black,1792,50,0.0222371511592438
662,FusionGrad,False,True,Pearson,Black,1792,50,0.1550283481779633
663,Saliency,False,True,Spearman,Black,1792,50,0.089013891270794
664,IntegratedGradients,False,True,Spearman,Black,1792,50,-0.0506328245583947
665,FusionGrad,False,True,Spearman,Black,1792,50,0.0435602812553592
666,Saliency,False,True,Pearson,Black,1792,100,0.0457319255215199
667,IntegratedGradients,False,True,Pearson,Black,1792,100,0.0612543470431643
668,FusionGrad,False,True,Pearson,Black,1792,100,0.0160782085454405
669,Saliency,False,True,Spearman,Black,1792,100,-0.0001671595731001
670,IntegratedGradients,False,True,Spearman,Black,1792,100,0.0149303501778749
671,FusionGrad,False,True,Spearman,Black,1792,100,0.0232986155758432
672,Saliency,False,True,Pearson,White,2,50,-0.091946436888043
673,IntegratedGradients,False,True,Pearson,White,2,50,-0.0370095315552177
674,FusionGrad,False,True,Pearson,White,2,50,0.001653284137261
675,Saliency,False,True,Spearman,White,2,50,-0.0321591493740353
676,IntegratedGradients,False,True,Spearman,White,2,50,-0.0558463385354141
677,FusionGrad,False,True,Spearman,White,2,50,-0.0147007374378322
678,Saliency,False,True,Pearson,White,2,100,0.0208140903642186
679,IntegratedGradients,False,True,Pearson,White,2,100,-0.0213391484775813
680,FusionGrad,False,True,Pearson,White,2,100,-0.0382919938481907
681,Saliency,False,True,Spearman,White,2,100,-0.0153915391539153
682,IntegratedGradients,False,True,Spearman,White,2,100,0.0152115211521152
683,FusionGrad,False,True,Spearman,White,2,100,-0.0015378680725215
684,Saliency,False,True,Pearson,White,112,50,-0.0249849127913991
685,IntegratedGradients,False,True,Pearson,White,112,50,-0.0308207869610177
686,FusionGrad,False,True,Pearson,White,112,50,-0.021879981568613
687,Saliency,False,True,Spearman,White,112,50,-0.056731263934145
688,IntegratedGradients,False,True,Spearman,White,112,50,-0.0313016635225518
689,FusionGrad,False,True,Spearman,White,112,50,-0.069840507631624
690,Saliency,False,True,Pearson,White,112,100,-0.0621028774089279
691,IntegratedGradients,False,True,Pearson,White,112,100,0.0453970410453997
692,FusionGrad,False,True,Pearson,White,112,100,-0.0215544845748846
693,Saliency,False,True,Spearman,White,112,100,-0.0031331704599031
694,IntegratedGradients,False,True,Spearman,White,112,100,-0.0153023873815953
695,FusionGrad,False,True,Spearman,White,112,100,-0.0225339676824825
696,Saliency,False,True,Pearson,White,224,50,0.0106295771016067
697,IntegratedGradients,False,True,Pearson,White,224,50,-0.0126994536021403
698,FusionGrad,False,True,Pearson,White,224,50,-0.0428316571301421
699,Saliency,False,True,Spearman,White,224,50,-0.0305539358600583
700,IntegratedGradients,False,True,Spearman,White,224,50,-0.044609843937575
701,FusionGrad,False,True,Spearman,White,224,50,0.0148996741553764
702,Saliency,False,True,Pearson,White,224,100,-0.009335564801396
703,IntegratedGradients,False,True,Pearson,White,224,100,-0.0171046641691608
704,FusionGrad,False,True,Pearson,White,224,100,-0.0075892037392225
705,Saliency,False,True,Spearman,White,224,100,-0.0137285157087137
706,IntegratedGradients,False,True,Spearman,White,224,100,0.0193185032788993
707,FusionGrad,False,True,Spearman,White,224,100,-0.0177394882345377
708,Saliency,False,True,Pearson,White,1792,50,-0.0554585775799416
709,IntegratedGradients,False,True,Pearson,White,1792,50,-0.0013490344720999
710,FusionGrad,False,True,Pearson,White,1792,50,-0.0909377151112606
711,Saliency,False,True,Spearman,White,1792,50,0.0641536614645858
712,IntegratedGradients,False,True,Spearman,White,1792,50,-0.0027508146115589
713,FusionGrad,False,True,Spearman,White,1792,50,-0.0485131195335276
714,Saliency,False,True,Pearson,White,1792,100,0.0111390527480481
715,IntegratedGradients,False,True,Pearson,White,1792,100,0.0113453739586747
716,FusionGrad,False,True,Pearson,White,1792,100,-0.0349840942705302
717,Saliency,False,True,Spearman,White,1792,100,-0.0283228322832283
718,IntegratedGradients,False,True,Spearman,White,1792,100,-0.012050919377652
719,FusionGrad,False,True,Spearman,White,1792,100,-0.0532930435900732
720,Saliency,False,False,Pearson,Mean,2,50,-0.0155184035129801
721,IntegratedGradients,False,False,Pearson,Mean,2,50,0.0417910912093219
722,FusionGrad,False,False,Pearson,Mean,2,50,0.003441136778035
723,Saliency,False,False,Spearman,Mean,2,50,0.0299296861601783
724,IntegratedGradients,False,False,Spearman,Mean,2,50,-0.016628365631967
725,FusionGrad,False,False,Spearman,Mean,2,50,0.0357880294975132
726,Saliency,False,False,Pearson,Mean,2,100,0.0458334930698368
727,IntegratedGradients,False,False,Pearson,Mean,2,100,0.016398627116002
728,FusionGrad,False,False,Pearson,Mean,2,100,0.0016954931700024
729,Saliency,False,False,Spearman,Mean,2,100,0.0107985084222708
730,IntegratedGradients,False,False,Spearman,Mean,2,100,0.0038317746367283
731,FusionGrad,False,False,Spearman,Mean,2,100,-0.0196502507393596
732,Saliency,False,False,Pearson,Mean,112,50,-0.0516872897325247
733,IntegratedGradients,False,False,Pearson,Mean,112,50,0.0224927634478391
734,FusionGrad,False,False,Pearson,Mean,112,50,0.0054886424738735
735,Saliency,False,False,Spearman,Mean,112,50,-0.0150711713256731
736,IntegratedGradients,False,False,Spearman,Mean,112,50,-0.0002263762647916
737,FusionGrad,False,False,Spearman,Mean,112,50,0.0375167209741039
738,Saliency,False,False,Pearson,Mean,112,100,-0.0338481629545344
739,IntegratedGradients,False,False,Pearson,Mean,112,100,0.0156294129125046
740,FusionGrad,False,False,Pearson,Mean,112,100,-0.0024093036263582
741,Saliency,False,False,Spearman,Mean,112,100,-0.0222965153658222
742,IntegratedGradients,False,False,Spearman,Mean,112,100,0.0131558870172731
743,FusionGrad,False,False,Spearman,Mean,112,100,0.041042389953281
744,Saliency,False,False,Pearson,Mean,224,50,0.0145400802910615
745,IntegratedGradients,False,False,Pearson,Mean,224,50,0.015699784119077
746,FusionGrad,False,False,Pearson,Mean,224,50,-0.0083665881258793
747,Saliency,False,False,Spearman,Mean,224,50,0.0780655119190533
748,IntegratedGradients,False,False,Spearman,Mean,224,50,-0.0206276796432858
749,FusionGrad,False,False,Spearman,Mean,224,50,0.0033613445378151
750,Saliency,False,False,Pearson,Mean,224,100,0.0103994411866993
751,IntegratedGradients,False,False,Pearson,Mean,224,100,0.0056015680667327
752,FusionGrad,False,False,Pearson,Mean,224,100,0.0226579204255462
753,Saliency,False,False,Spearman,Mean,224,100,-0.0325952595259525
754,IntegratedGradients,False,False,Spearman,Mean,224,100,0.0309013758518708
755,FusionGrad,False,False,Spearman,Mean,224,100,0.0202323089451802
756,Saliency,False,False,Pearson,Mean,1792,50,-0.0523571692366621
757,IntegratedGradients,False,False,Pearson,Mean,1792,50,0.0472007399116949
758,FusionGrad,False,False,Pearson,Mean,1792,50,0.0135228930492826
759,Saliency,False,False,Spearman,Mean,1792,50,-0.0108386211627508
760,IntegratedGradients,False,False,Spearman,Mean,1792,50,0.016058995026582
761,FusionGrad,False,False,Spearman,Mean,1792,50,-0.0475184359458068
762,Saliency,False,False,Pearson,Mean,1792,100,-0.0104871749642056
763,IntegratedGradients,False,False,Pearson,Mean,1792,100,0.0181634748444111
764,FusionGrad,False,False,Pearson,Mean,1792,100,-0.0034600576922257
765,Saliency,False,False,Spearman,Mean,1792,100,-0.0173365908019373
766,IntegratedGradients,False,False,Spearman,Mean,1792,100,0.0188187390167588
767,FusionGrad,False,False,Spearman,Mean,1792,100,-0.01000042861429
768,Saliency,False,False,Pearson,Random,2,50,0.0563179724527514
769,IntegratedGradients,False,False,Pearson,Random,2,50,0.0514400504993058
770,FusionGrad,False,False,Pearson,Random,2,50,0.0791567090534959
771,Saliency,False,False,Spearman,Random,2,50,-0.033675184359458
772,IntegratedGradients,False,False,Spearman,Random,2,50,0.0009192248327902
773,FusionGrad,False,False,Spearman,Random,2,50,-0.0408849253987309
774,Saliency,False,False,Pearson,Random,2,100,-0.0441091066349595
775,IntegratedGradients,False,False,Pearson,Random,2,100,0.0353537728412366
776,FusionGrad,False,False,Pearson,Random,2,100,0.0158224858352872
777,Saliency,False,False,Spearman,Random,2,100,0.0485851442287085
778,IntegratedGradients,False,False,Spearman,Random,2,100,0.0236055034074836
779,FusionGrad,False,False,Spearman,Random,2,100,-0.0059311645450259
780,Saliency,False,False,Pearson,Random,112,50,0.0468984999883771
781,IntegratedGradients,False,False,Pearson,Random,112,50,0.0138947494745575
782,FusionGrad,False,False,Pearson,Random,112,50,-0.0121650616433695
783,Saliency,False,False,Spearman,Random,112,50,0.0297650488766935
784,IntegratedGradients,False,False,Spearman,Random,112,50,0.026938775510204
785,FusionGrad,False,False,Spearman,Random,112,50,-0.036631795575373
786,Saliency,False,False,Pearson,Random,112,100,-0.0011186494560038
787,IntegratedGradients,False,False,Pearson,Random,112,100,0.0036920826427589
788,FusionGrad,False,False,Pearson,Random,112,100,-0.0192844384871512
789,Saliency,False,False,Spearman,Random,112,100,0.0112468389696112
790,IntegratedGradients,False,False,Spearman,Random,112,100,-0.0058377266298058
791,FusionGrad,False,False,Spearman,Random,112,100,-0.0009343791522009
