,explanation,absolute,normalisation,similarity_func,baseline_strategy,subset_size,iterations,faithfulness_score
78,Saliency,True,True,Pearson,Random,224,100,0.0432510644729592
79,IntegratedGradients,True,True,Pearson,Random,224,100,0.0234456117887024
80,FusionGrad,True,True,Pearson,Random,224,100,-0.0114638753017592
81,Saliency,True,True,Spearman,Random,224,100,0.0077647764776477
82,IntegratedGradients,True,True,Spearman,Random,224,100,0.002071064249282
83,FusionGrad,True,True,Spearman,Random,224,100,0.0417058848742017
84,Saliency,True,True,Pearson,Random,1792,50,0.0303397540708129
85,IntegratedGradients,True,True,Pearson,Random,1792,50,-0.0704210767792425
86,FusionGrad,True,True,Pearson,Random,1792,50,0.0008632680591919
87,Saliency,True,True,Spearman,Random,1792,50,0.0156336820442462
88,IntegratedGradients,True,True,Spearman,Random,1792,50,0.0293877551020408
89,FusionGrad,True,True,Spearman,Random,1792,50,0.0056045275252958
90,Saliency,True,True,Pearson,Random,1792,100,0.0169022123118988
91,IntegratedGradients,True,True,Pearson,Random,1792,100,0.0120722583191178
92,FusionGrad,True,True,Pearson,Random,1792,100,0.0330788269181443
93,Saliency,True,True,Spearman,Random,1792,100,-0.0129784407012129
94,IntegratedGradients,True,True,Spearman,Random,1792,100,0.0128532853285328
95,FusionGrad,True,True,Spearman,Random,1792,100,0.0538931035960738
96,Saliency,True,True,Pearson,Uniform,2,50,-0.0628312872811574
97,IntegratedGradients,True,True,Pearson,Uniform,2,50,-0.0292855321168648
98,FusionGrad,True,True,Pearson,Uniform,2,50,-0.0375756528178513
99,Saliency,True,True,Spearman,Uniform,2,50,-0.0279608986451723
100,IntegratedGradients,True,True,Spearman,Uniform,2,50,-0.0151054707597324
101,FusionGrad,True,True,Spearman,Uniform,2,50,-0.0760830046304236
102,Saliency,True,True,Pearson,Uniform,2,100,-0.0136463907501466
103,IntegratedGradients,True,True,Pearson,Uniform,2,100,0.0512013847122918
104,FusionGrad,True,True,Pearson,Uniform,2,100,-0.0141443576810515
105,Saliency,True,True,Spearman,Uniform,2,100,-0.0142214221422142
106,IntegratedGradients,True,True,Spearman,Uniform,2,100,0.0172251510865372
107,FusionGrad,True,True,Spearman,Uniform,2,100,-0.0254777087328467
108,Saliency,True,True,Pearson,Uniform,112,50,-0.0287119578501775
109,IntegratedGradients,True,True,Pearson,Uniform,112,50,-0.0523373556791058
110,FusionGrad,True,True,Pearson,Uniform,112,50,-0.0085055288768721
111,Saliency,True,True,Spearman,Uniform,112,50,0.0096038415366146
112,IntegratedGradients,True,True,Spearman,Uniform,112,50,-0.0251071857314354
113,FusionGrad,True,True,Spearman,Uniform,112,50,0.0360487051963642
114,Saliency,True,True,Pearson,Uniform,112,100,-0.0019879377078368
115,IntegratedGradients,True,True,Pearson,Uniform,112,100,0.005155272187851
116,FusionGrad,True,True,Pearson,Uniform,112,100,0.018907958447851
117,Saliency,True,True,Spearman,Uniform,112,100,-0.0459320217736059
118,IntegratedGradients,True,True,Spearman,Uniform,112,100,0.0492563542068492
119,FusionGrad,True,True,Spearman,Uniform,112,100,0.0108336547940508
120,Saliency,True,True,Pearson,Uniform,224,50,0.0103361063708336
121,IntegratedGradients,True,True,Pearson,Uniform,224,50,-0.0367808250157731
122,FusionGrad,True,True,Pearson,Uniform,224,50,0.0423638096948923
123,Saliency,True,True,Spearman,Uniform,224,50,-0.0167244040473332
124,IntegratedGradients,True,True,Spearman,Uniform,224,50,0.0261773280740867
125,FusionGrad,True,True,Spearman,Uniform,224,50,-0.0325707425827473
126,Saliency,True,True,Pearson,Uniform,224,100,-0.0008236841877443
127,IntegratedGradients,True,True,Pearson,Uniform,224,100,-0.0417447932437822
128,FusionGrad,True,True,Pearson,Uniform,224,100,0.0304774380336454
129,Saliency,True,True,Spearman,Uniform,224,100,0.0113797093995113
130,IntegratedGradients,True,True,Spearman,Uniform,224,100,0.0151695169516951
131,FusionGrad,True,True,Spearman,Uniform,224,100,-0.0379435086365779
132,Saliency,True,True,Pearson,Uniform,1792,50,-0.019785171302659
133,IntegratedGradients,True,True,Pearson,Uniform,1792,50,0.0373496761922195
134,FusionGrad,True,True,Pearson,Uniform,1792,50,0.0058444142356945
135,Saliency,True,True,Spearman,Uniform,1792,50,0.0527113702623906
136,IntegratedGradients,True,True,Spearman,Uniform,1792,50,-0.0029703309895386
137,FusionGrad,True,True,Spearman,Uniform,1792,50,0.0070382438689761
138,Saliency,True,True,Pearson,Uniform,1792,100,-0.0322385795927788
139,IntegratedGradients,True,True,Pearson,Uniform,1792,100,-0.0772867279205323
140,FusionGrad,True,True,Pearson,Uniform,1792,100,0.0713453130844483
141,Saliency,True,True,Spearman,Uniform,1792,100,0.0231271698598431
142,IntegratedGradients,True,True,Spearman,Uniform,1792,100,0.0344700184304144
143,FusionGrad,True,True,Spearman,Uniform,1792,100,0.0335227936989982
144,Saliency,True,True,Pearson,Black,2,50,-0.0120408500762068
145,IntegratedGradients,True,True,Pearson,Black,2,50,0.044718429096014
146,FusionGrad,True,True,Pearson,Black,2,50,0.0229827702795581
147,Saliency,True,True,Spearman,Black,2,50,0.0250111473160692
148,IntegratedGradients,True,True,Spearman,Black,2,50,0.0122860572800548
149,FusionGrad,True,True,Spearman,Black,2,50,0.0057554450351569
150,Saliency,True,True,Pearson,Black,2,100,-0.03133546920838
151,IntegratedGradients,True,True,Pearson,Black,2,100,0.0158990055465407
152,FusionGrad,True,True,Pearson,Black,2,100,-0.019870641108022
153,Saliency,True,True,Spearman,Black,2,100,0.0171831468861171
154,IntegratedGradients,True,True,Spearman,Black,2,100,-0.026100895803866
155,FusionGrad,True,True,Spearman,Black,2,100,0.0062483391196262
156,Saliency,True,True,Pearson,Black,112,50,0.0414463871866137
157,IntegratedGradients,True,True,Pearson,Black,112,50,-0.0245227949833913
158,FusionGrad,True,True,Pearson,Black,112,50,0.0468822719042868
159,Saliency,True,True,Spearman,Black,112,50,0.0154553249871377
160,IntegratedGradients,True,True,Spearman,Black,112,50,0.0171222774824215
161,FusionGrad,True,True,Spearman,Black,112,50,-0.0313222431829874
162,Saliency,True,True,Pearson,Black,112,100,0.0323288938039503
163,IntegratedGradients,True,True,Pearson,Black,112,100,0.0183027160004302
164,FusionGrad,True,True,Pearson,Black,112,100,-0.0277439753458492
165,Saliency,True,True,Spearman,Black,112,100,-0.0147520466332347
166,IntegratedGradients,True,True,Spearman,Black,112,100,-0.0132424671038532
167,FusionGrad,True,True,Spearman,Black,112,100,0.0328712871287128
168,Saliency,True,True,Pearson,Black,224,50,0.1028623309777674
169,IntegratedGradients,True,True,Pearson,Black,224,50,-0.0277421825057813
170,FusionGrad,True,True,Pearson,Black,224,50,0.0915758158252793
171,Saliency,True,True,Spearman,Black,224,50,0.0478065511919053
172,IntegratedGradients,True,True,Spearman,Black,224,50,0.0035259818212999
173,FusionGrad,True,True,Spearman,Black,224,50,0.0148996741553764
174,Saliency,True,True,Pearson,Black,224,100,0.0210035685856149
175,IntegratedGradients,True,True,Pearson,Black,224,100,-0.0374458538808669
176,FusionGrad,True,True,Pearson,Black,224,100,0.0359849072131898
177,Saliency,True,True,Spearman,Black,224,100,0.0396922549397796
178,IntegratedGradients,True,True,Spearman,Black,224,100,0.0556255625562556
179,FusionGrad,True,True,Spearman,Black,224,100,0.0064549312074064
180,Saliency,True,True,Pearson,Black,1792,50,-0.0345836090763751
181,IntegratedGradients,True,True,Pearson,Black,1792,50,0.0722724455968076
182,FusionGrad,True,True,Pearson,Black,1792,50,0.0190263840534401
183,Saliency,True,True,Spearman,Black,1792,50,0.0168273023495112
184,IntegratedGradients,True,True,Spearman,Black,1792,50,-0.0003018350197221
185,FusionGrad,True,True,Spearman,Black,1792,50,-0.0604150231521179
186,Saliency,True,True,Pearson,Black,1792,100,0.0533161616060413
187,IntegratedGradients,True,True,Pearson,Black,1792,100,-0.0097360617701299
188,FusionGrad,True,True,Pearson,Black,1792,100,0.0484500782200864
189,Saliency,True,True,Spearman,Black,1792,100,-0.0024739616818824
190,IntegratedGradients,True,True,Spearman,Black,1792,100,0.0082559684539882
191,FusionGrad,True,True,Spearman,Black,1792,100,0.0587090137585187
192,Saliency,True,True,Pearson,White,2,50,-0.0296382626009367
193,IntegratedGradients,True,True,Pearson,White,2,50,-0.0063457927180678
194,FusionGrad,True,True,Pearson,White,2,50,-0.0440625970961618
195,Saliency,True,True,Spearman,White,2,50,-0.030204081632653
196,IntegratedGradients,True,True,Spearman,White,2,50,0.0134728176985079
197,FusionGrad,True,True,Spearman,White,2,50,0.0004870519636426
198,Saliency,True,True,Pearson,White,2,100,-0.0103598285108649
199,IntegratedGradients,True,True,Pearson,White,2,100,-0.0249814740709761
200,FusionGrad,True,True,Pearson,White,2,100,0.0312435861211979
201,Saliency,True,True,Spearman,White,2,100,-0.0033551926621233
202,IntegratedGradients,True,True,Spearman,White,2,100,-0.0305764862200505
203,FusionGrad,True,True,Spearman,White,2,100,-0.0021002100210021
204,Saliency,True,True,Pearson,White,112,50,-0.001197293537883
205,IntegratedGradients,True,True,Pearson,White,112,50,-0.0460026081303085
206,FusionGrad,True,True,Pearson,White,112,50,0.0364130641881912
207,Saliency,True,True,Spearman,White,112,50,0.0812141999657005
208,IntegratedGradients,True,True,Spearman,White,112,50,-0.0429977705367861
209,FusionGrad,True,True,Spearman,White,112,50,0.0465374721317098
210,Saliency,True,True,Pearson,White,112,100,0.0486502859154813
211,IntegratedGradients,True,True,Pearson,White,112,100,-0.0626444597109348
212,FusionGrad,True,True,Pearson,White,112,100,0.0030985030349751
213,Saliency,True,True,Spearman,White,112,100,0.0692272084351292
214,IntegratedGradients,True,True,Spearman,White,112,100,-0.0251099395653851
215,FusionGrad,True,True,Spearman,White,112,100,0.0308379409369508
216,Saliency,True,True,Pearson,White,224,50,0.0260444994063343
217,IntegratedGradients,True,True,Pearson,White,224,50,-0.020496125731086
218,FusionGrad,True,True,Pearson,White,224,50,-0.0128931514108071
219,Saliency,True,True,Spearman,White,224,50,-0.0014542960041159
220,IntegratedGradients,True,True,Spearman,White,224,50,-0.0324198250728862
221,FusionGrad,True,True,Spearman,White,224,50,0.055283827816841
222,Saliency,True,True,Pearson,White,224,100,-0.0103115966271322
223,IntegratedGradients,True,True,Pearson,White,224,100,-0.0244283455537651
224,FusionGrad,True,True,Pearson,White,224,100,0.0172031827224614
225,Saliency,True,True,Spearman,White,224,100,0.0167043554026193
226,IntegratedGradients,True,True,Spearman,White,224,100,-0.0473344477304873
227,FusionGrad,True,True,Spearman,White,224,100,0.0112005486262912
228,Saliency,True,True,Pearson,White,1792,50,-0.0611810627847208
229,IntegratedGradients,True,True,Pearson,White,1792,50,-0.0067497890018164
230,FusionGrad,True,True,Pearson,White,1792,50,0.0764332813754413
231,Saliency,True,True,Spearman,White,1792,50,0.0593448808094666
232,IntegratedGradients,True,True,Spearman,White,1792,50,-0.0654021608643457
233,FusionGrad,True,True,Spearman,White,1792,50,0.0736477448122105
234,Saliency,True,True,Pearson,White,1792,100,0.0218704763558195
235,IntegratedGradients,True,True,Pearson,White,1792,100,0.0044709892277902
236,FusionGrad,True,True,Pearson,White,1792,100,0.0121120861381682
237,Saliency,True,True,Spearman,White,1792,100,0.0458763019159058
238,IntegratedGradients,True,True,Spearman,White,1792,100,0.0005923449487805
239,FusionGrad,True,True,Spearman,White,1792,100,0.0475641849899275
240,Saliency,True,False,Pearson,Mean,2,50,0.0252270926764168
241,IntegratedGradients,True,False,Pearson,Mean,2,50,0.0732445027175687
242,FusionGrad,True,False,Pearson,Mean,2,50,0.034180038296
243,Saliency,True,False,Spearman,Mean,2,50,0.0273640884925398
244,IntegratedGradients,True,False,Spearman,Mean,2,50,0.0664794356050094
245,FusionGrad,True,False,Spearman,Mean,2,50,-0.0508043217286914
246,Saliency,True,False,Pearson,Mean,2,100,-0.009237866089602
247,IntegratedGradients,True,False,Pearson,Mean,2,100,0.0021401954386304
248,FusionGrad,True,False,Pearson,Mean,2,100,0.0132465368324726
249,Saliency,True,False,Spearman,Mean,2,100,-2.914577172002153e-05
250,IntegratedGradients,True,False,Spearman,Mean,2,100,-0.0266156832413032
251,FusionGrad,True,False,Spearman,Mean,2,100,0.0129544383009729
252,Saliency,True,False,Pearson,Mean,112,50,0.0262640925072324
253,IntegratedGradients,True,False,Pearson,Mean,112,50,0.0044155130370169
254,FusionGrad,True,False,Pearson,Mean,112,50,-0.0154322771860796
255,Saliency,True,False,Spearman,Mean,112,50,-0.0508180415023152
256,IntegratedGradients,True,False,Spearman,Mean,112,50,-0.0324266849596981
257,FusionGrad,True,False,Spearman,Mean,112,50,-0.0036906191047847
258,Saliency,True,False,Pearson,Mean,112,100,-0.0158175469811992
259,IntegratedGradients,True,False,Pearson,Mean,112,100,0.0248185941757203
260,FusionGrad,True,False,Pearson,Mean,112,100,-0.0454877202513569
261,Saliency,True,False,Spearman,Mean,112,100,-0.0006077750632206
262,IntegratedGradients,True,False,Spearman,Mean,112,100,-0.0244404440444044
263,FusionGrad,True,False,Spearman,Mean,112,100,0.009013758518709
264,Saliency,True,False,Pearson,Mean,224,50,-0.0171862871754664
265,IntegratedGradients,True,False,Pearson,Mean,224,50,-0.026933210291593
266,FusionGrad,True,False,Pearson,Mean,224,50,-0.0194100510461335
267,Saliency,True,False,Spearman,Mean,224,50,0.04113874121077
268,IntegratedGradients,True,False,Spearman,Mean,224,50,0.0281598353627165
269,FusionGrad,True,False,Spearman,Mean,224,50,0.0708146115589092
270,Saliency,True,False,Pearson,Mean,224,100,0.0124241572645959
271,IntegratedGradients,True,False,Pearson,Mean,224,100,-0.0090061088031921
272,FusionGrad,True,False,Pearson,Mean,224,100,0.0326907266191038
273,Saliency,True,False,Spearman,Mean,224,100,-0.0119600531481719
274,IntegratedGradients,True,False,Spearman,Mean,224,100,0.0010595501237851
275,FusionGrad,True,False,Spearman,Mean,224,100,-0.0242287085851442
276,Saliency,True,False,Pearson,Mean,1792,50,0.0293370131914606
277,IntegratedGradients,True,False,Pearson,Mean,1792,50,-0.0611950754750129
278,FusionGrad,True,False,Pearson,Mean,1792,50,-0.0074956950471244
279,Saliency,True,False,Spearman,Mean,1792,50,0.0592762819413479
280,IntegratedGradients,True,False,Spearman,Mean,1792,50,0.0689967415537643
281,FusionGrad,True,False,Spearman,Mean,1792,50,0.0165048876693534
282,Saliency,True,False,Pearson,Mean,1792,100,0.0380762138129679
283,IntegratedGradients,True,False,Pearson,Mean,1792,100,0.0281420622176916
284,FusionGrad,True,False,Pearson,Mean,1792,100,0.0127444244652549
285,Saliency,True,False,Spearman,Mean,1792,100,0.003064592173503
286,IntegratedGradients,True,False,Spearman,Mean,1792,100,-0.0224293857957224
287,FusionGrad,True,False,Spearman,Mean,1792,100,0.0388873173031588
